epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,54.176,3.03655,3.93588,0.70531,6.41556,0.02115,18.7078,0.05898,0.03571,0.01238,0.00218,0.07881,0.05102,0.02429,0.00806,3.35379,3.72248,0.70501,4.51649,0.02859,0,0.000646465,0.000646465,0.000646465
2,85.2887,2.45096,2.75965,0.60679,3.82302,0.01503,12.869,0.04345,0.06633,0.00779,0.00147,0.08671,0.16327,0.03681,0.01969,2.96049,2.53223,0.36922,6.44206,0.02137,0,0.00130013,0.00130013,0.00130013
3,147.605,2.48651,2.16599,0.48979,3.70614,0.01444,10.228,0.04404,0.06633,0.00779,0.00147,0.08675,0.15816,0.03687,0.01971,2.95968,2.53578,0.36934,6.41202,0.02135,0,0.0019406,0.0019406,0.0019406
4,181.12,2.30421,2.04285,0.38171,3.45777,0.01385,10.2301,0.00299,0.2602,0.00138,0.00032,0.00373,0.29082,0.0025,0.0009,2.88053,3.68596,0.10743,151.927,0.02452,0,0.0019406,0.0019406,0.0019406
5,212.56,2.32576,1.86928,0.3656,3.24819,0.01384,9.50908,0.02529,0.05612,0.00528,0.0014,0.01224,0.04592,0.00318,0.00144,nan,nan,nan,nan,nan,0,0.0019208,0.0019208,0.0019208
6,243.768,2.25679,1.5258,0.32985,2.98985,0.01356,8.50645,0.12609,0.10714,0.03866,0.00991,0.15571,0.22959,0.08702,0.05078,nan,nan,nan,nan,nan,0,0.001901,0.001901,0.001901
7,275.275,2.16121,1.40469,0.3169,3.04951,0.0134,8.55123,0.11767,0.03061,0.02591,0.00869,0.1457,0.03571,0.02434,0.01734,3.24813,7.86754,0.07734,4.21971,0.03029,0,0.0018812,0.0018812,0.0018812
8,306.06,2.1783,1.38416,0.29946,2.92648,0.01259,7.83768,0.16874,0.30612,0.1232,0.04253,0.20249,0.31633,0.14646,0.11857,1.96387,1.25448,0.07337,8.01307,0.01371,0,0.0018614,0.0018614,0.0018614
9,337.206,2.17385,1.38187,0.30665,2.88133,0.01294,7.78351,0.15711,0.16327,0.09016,0.03245,0.15787,0.17347,0.1002,0.06922,2.00822,1.1681,0.09976,3.31022,0.01393,0,0.0018416,0.0018416,0.0018416
10,368.033,2.16492,1.2817,0.28545,2.87232,0.01287,7.48747,0.28155,0.39286,0.23997,0.09116,0.29462,0.44898,0.27967,0.23309,1.93422,0.96271,0.04917,5.46882,0.01345,0,0.0018218,0.0018218,0.0018218
