epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,40.256,3.41787,4.98075,0.71345,8.38556,0.02488,20.9352,0.02386,0.08955,0.00703,0.00153,0.02386,0.08955,0.00881,0.00136,2.48233,4.441,0.7054,10.9165,0.02022,0,0.00032,0.00032,0.00032
2,58.2012,2.24429,3.49187,0.73551,3.80074,0.01342,17.0808,0.01665,0.28358,0.01123,0.00349,0.00833,0.35821,0.00626,0.00106,1.88519,4.00932,0.63229,11.6985,0.01278,0,0.000653466,0.000653466,0.000653466
3,74.6229,2.10978,2.68321,0.58888,3.43354,0.01223,13.1713,0.12818,0.07463,0.02401,0.00515,0.15337,0.08955,0.03312,0.01097,2.69987,4.17787,0.65506,11.4903,0.02091,0,0.0009802,0.0009802,0.0009802
4,90.7137,2.0691,2.56981,0.43984,3.18734,0.012,10.842,0.09871,0.34328,0.07158,0.01662,0.1626,0.37313,0.12873,0.06535,2.34222,2.23052,0.20544,18.242,0.01638,0,0.0013002,0.0013002,0.0013002
5,106.943,2.0173,2.16714,0.35071,3.02624,0.01175,10.2219,0.0352,0.31343,0.02007,0.0067,0.0488,0.23881,0.03787,0.02047,nan,nan,nan,nan,nan,0,0.00161347,0.00161347,0.00161347
6,122.986,2.1432,2.14614,0.31541,3.07626,0.01247,10.0816,0.03165,0.02985,0.00158,0.00074,0.07359,0.0597,0.0063,0.00397,nan,nan,nan,nan,nan,0,0.001901,0.001901,0.001901
7,139.278,2.01377,2.016,0.29061,2.84735,0.01127,9.77393,0.17313,0.25373,0.10027,0.0353,0.1694,0.23881,0.09042,0.03888,2.06136,3.40385,0.07051,nan,0.01396,0,0.0018812,0.0018812,0.0018812
8,155.536,1.958,1.62225,0.24937,2.76426,0.01127,9.43224,0.03637,0.14925,0.01524,0.00474,0.07335,0.14925,0.03943,0.01434,nan,nan,nan,nan,nan,0,0.0018614,0.0018614,0.0018614
9,171.305,1.9415,1.62725,0.31759,2.72659,0.01119,9.15916,0.14642,0.25373,0.05784,0.01973,0.15218,0.29851,0.08486,0.04683,nan,nan,nan,nan,nan,0,0.0018416,0.0018416,0.0018416
10,187.17,1.90988,1.49073,0.30036,2.53115,0.01086,8.88184,0.01836,0.04478,0.00301,0.00078,0.04703,0.04478,0.00782,0.00262,2.73359,3.66566,0.17739,6.55499,0.01937,0,0.0018218,0.0018218,0.0018218
11,202.841,1.94563,1.54964,0.27271,2.39357,0.01159,8.81161,0.03206,0.02985,0.00336,0.00056,0.0669,0.0597,0.00838,0.00432,2.75713,4.19434,0.36271,nan,0.01852,0,0.001802,0.001802,0.001802
12,219.073,1.95769,1.42025,0.33805,2.58882,0.0116,8.75701,0.15271,0.32836,0.11646,0.0472,0.2364,0.43284,0.24703,0.13874,1.82621,1.57373,0.04192,4.01375,0.01295,0,0.0017822,0.0017822,0.0017822
13,235.647,1.88488,1.51162,0.26263,2.46917,0.01087,8.48207,0.20755,0.44776,0.18847,0.0826,0.23528,0.49254,0.24646,0.15356,1.97462,1.57649,0.02295,2.64263,0.01383,0,0.0017624,0.0017624,0.0017624
14,252.27,1.75821,1.41581,0.28945,2.27329,0.01035,8.65118,0.1438,0.38806,0.14885,0.04681,0.32723,0.35821,0.27381,0.17272,2.04788,1.52139,0.03917,3.60605,0.01482,0,0.0017426,0.0017426,0.0017426
