epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,39.879,3.18627,4.97914,0.70259,8.06777,0.02243,21.3134,0.01052,0.02985,0.00401,0.00128,0.01602,0.07463,0.00504,0.00085,2.78918,4.3954,0.70479,6.38141,0.02321,0,0.00032,0.00032,0.00032
2,50.1623,2.23209,3.94065,0.64337,3.96526,0.0139,19.1535,0.05641,0.14925,0.02387,0.00553,0.03879,0.1791,0.0244,0.00456,2.81566,4.18986,0.66418,7.9002,0.02112,0,0.000653466,0.000653466,0.000653466
3,60.7268,2.27965,2.97859,0.58177,3.45211,0.01381,14.61,0.06879,0.25373,0.04577,0.01643,0.13494,0.23881,0.07454,0.01746,1.79131,3.13248,0.5038,11.3451,0.01211,0,0.0009802,0.0009802,0.0009802
4,73.0543,2.18901,2.8746,0.51576,3.22589,0.01306,12.9389,0.02558,0.0597,0.01687,0.00379,0.20461,0.26866,0.11062,0.02902,2.73047,3.25601,0.40131,3.90193,0.01876,0,0.0013002,0.0013002,0.0013002
5,83.8552,2.20494,2.59988,0.43126,3.01863,0.01274,11.6646,0.07261,0.1791,0.02761,0.00633,0.17858,0.2953,0.09458,0.04109,2.95802,2.99454,0.29457,4.71772,0.02056,0,0.00161347,0.00161347,0.00161347
6,93.501,2.17398,2.0926,0.34365,2.80695,0.01252,10.77,0.00047,0.08955,0.00056,7e-05,0.05427,0.02985,0.05438,0.0161,2.79392,4.41854,0.4961,6.15812,0.02019,0,0.001901,0.001901,0.001901
7,104.221,1.97566,2.01444,0.32396,2.66272,0.01093,10.2307,0.11758,0.07463,0.02537,0.0048,0.0815,0.10448,0.03742,0.01373,3.61089,3.35058,0.29937,4.69947,0.02615,0,0.0018812,0.0018812,0.0018812
8,115.112,1.96561,1.83449,0.27,2.71044,0.01123,9.85485,0.21518,0.13433,0.1007,0.02558,0.2345,0.19403,0.16115,0.06937,2.141,1.67972,0.05397,12.34,0.01458,0,0.0018614,0.0018614,0.0018614
9,125.484,1.90074,1.79667,0.29543,2.4892,0.01085,9.48377,0.08334,0.20896,0.05237,0.0196,0.13097,0.30593,0.12126,0.08579,1.74416,1.52768,0.02199,8.16042,0.01142,0,0.0018416,0.0018416,0.0018416
10,135.816,1.97419,1.72657,0.2741,2.52744,0.01122,9.54496,0.185,0.29851,0.14625,0.0712,0.2192,0.29851,0.1779,0.10923,1.93736,1.79916,0.03304,5.31333,0.01289,0,0.0018218,0.0018218,0.0018218
11,146.746,1.83756,1.58192,0.27118,2.33688,0.01072,9.08005,0.1591,0.16418,0.07434,0.02372,0.23142,0.23881,0.15177,0.07828,1.9418,1.71697,0.03383,3.69996,0.01444,0,0.001802,0.001802,0.001802
12,157.67,1.9445,1.48279,0.35631,2.32505,0.01157,8.9969,0.21189,0.33309,0.13101,0.05688,0.22868,0.37313,0.16199,0.10563,1.69064,1.7267,0.04181,2.76912,0.01136,0,0.0017822,0.0017822,0.0017822
13,167.227,1.74709,1.65246,0.27027,2.22033,0.01002,8.89526,0.22409,0.1791,0.17548,0.07973,0.22241,0.1791,0.18178,0.12174,1.85514,1.89218,0.04712,2.43343,0.01311,0,0.0017624,0.0017624,0.0017624
